inst#,actual,predicted,error,prediction,tweet,tweet,ID,SentiReal,SentPredict,SentPredict/2,sentPredictlog,,AVGReal,AVGPredict
86,-1,-1,,0.82,'tsla dump','tsla dump',7.19571E+17,-0.866,-0.82,-0.41,,,0.122971939,0.346958546
84,-1,1,+,0.78,'look belooooooowwww','look belooooooowwww',6181018,-0.85,0.78,,,,,
111,-1,-1,,0.78,'5 toxic stocks raising red flags sell','5 toxic stocks raising red flags sell',34637295,-0.826,-0.78,-0.39,,,,
9,-1,-1,,0.97,'time sell banks','time sell banks',16142438,-0.763,-0.97,-0.485,,,,
128,-1,-1,,0.97,'bottom losses','bottom losses',7.19699E+17,-0.756,-0.97,-0.485,,,,
154,-1,-1,,0.85,'worst performers today rig 13','worst performers today rig 13',5679790,-0.72,-0.85,-0.425,,,,
17,-1,-1,,0.56,'big dumping would not touch','big dumping would not touch',9674584,-0.699,-0.56,-0.28,,,,
120,-1,-1,,0.99,'sold 13926 flat','sold 13926 flat',7031131,-0.695,-0.99,-0.495,,,,
100,-1,-1,,1,'isrg short','isrg short',33671861,-0.678,-1,-0.5,,,,
156,-1,-1,,0.87,'breaks major support','breaks major support',13078905,-0.66,-0.87,-0.435,,,,
188,-1,-1,,0.97,'bottom losses','bottom losses',7.19699E+17,-0.659,-0.97,-0.485,,,,
156,-1,-1,,0.81,'player onto 211 puts','player onto 211 puts',36710496,-0.652,-0.81,-0.405,,,,
139,-1,-1,,0.77,'losing 1 billion vrx','losing 1 billion vrx',7.10236E+17,-0.643,-0.77,-0.385,,,,
116,-1,-1,,0.53,'makes less profit sales aapl watch','makes less profit sales aapl watch',7.19889E+17,-0.641,-0.53,-0.265,,,,
65,-1,-1,,0.89,'slow bleeding death likely horror show event','slow bleeding death likely horror show event',34445371,-0.641,-0.89,-0.445,,,,
70,-1,-1,,1,'topping tail short','topping tail short',7618801,-0.64,-1,-0.5,,,,
7,-1,-1,,0.93,'moneylosing overvalued china ipo junk','moneylosing overvalued china ipo junk',22146748,-0.638,-0.93,-0.465,,,,
128,-1,-1,,1,short,short,23765380,-0.633,-1,-0.5,,,,
32,-1,-1,,0.61,'ltm selling far large bearish channel up formed','ltm selling far large bearish channel up formed',11855861,-0.629,-0.61,-0.305,,,,
124,-1,1,+,0.97,'plunging back','plunging back',37808166,-0.628,0.97,,,,,
181,-1,-1,,0.7,'stock dropping hard','stock dropping hard',7.19572E+17,-0.626,-0.7,-0.35,,,,
174,-1,-1,,1,'id short fast','id short fast',7.19635E+17,-0.625,-1,-0.5,,,,
138,-1,-1,,0.63,'would short amzn rally','would short amzn rally',6119064,-0.621,-0.63,-0.315,,,,
19,-1,-1,,0.88,'bearish charts keep getting worse','bearish charts keep getting worse',7.19913E+17,-0.619,-0.88,-0.44,,,,
54,-1,-1,,0.91,'short tsla calls','short tsla calls',7.19884E+17,-0.618,-0.91,-0.455,,,,
28,-1,-1,,1,'short mbly','short mbly',7.19531E+17,-0.606,-1,-0.5,,,,
143,-1,-1,,0.68,'anyone long flush please accept condolences congrats short','anyone long flush please accept condolences congrats short',8140414,-0.606,-0.68,-0.34,,,,
164,-1,-1,,0.97,'short markets tank','short markets tank',6037370,-0.605,-0.97,-0.485,,,,
167,-1,-1,,0.99,'short tsla','short tsla',7.19541E+17,-0.603,-0.99,-0.495,,,,
47,-1,1,+,0.92,'endp sued ft nobody buy hanging heads','endp sued ft nobody buy hanging heads',7.19562E+17,-0.602,0.92,,,,,
129,-1,-1,,0.62,'chunk dec 35 puts bought','chunk dec 35 puts bought',17667026,-0.601,-0.62,-0.31,,,,
22,-1,-1,,0.68,'gs looking weak market moving higher not good sign','gs looking weak market moving higher not good sign',12234095,-0.597,-0.68,-0.34,,,,
5,-1,-1,,0.99,'small pos short 180 wkly puts','small pos short 180 wkly puts',12246765,-0.597,-0.99,-0.495,,,,
2,-1,-1,,0.869,'micron shares pounded fears loss business apple','micron shares pounded fears loss business apple',33087415,-0.596,-0.869,-0.4345,,,,
126,-1,-1,,0.79,' want cry','want cry',32753996,-0.595,-0.79,-0.395,,,,
151,-1,-1,,0.98,'sell rht','sell rht',7.095E+17,-0.591,-0.98,-0.49,,,,
170,-1,-1,,0.8,'1000 increased bearish conversations','1000 increased bearish conversations',30158448,-0.589,-0.8,-0.4,,,,
171,-1,1,+,0.76,'wfc 830','wfc 830',5440232,-0.584,0.76,,,,,
172,-1,-1,,0.69,'sold today','sold today',11118210,-0.581,-0.69,-0.345,,,,
61,-1,1,+,0.58,'money flow stochastic dropping itting resistance 200day downtrend','money flow stochastic dropping itting resistance 200day downtrend',7.199E+17,-0.577,0.58,,,,,
102,-1,-1,,1,'bottom losses','bottom losses',7.19699E+17,-0.575,-1,-0.5,,,,
166,-1,-1,,0.91,'netapp downgraded macquarie underperform','netapp downgraded macquarie underperform',7.11946E+17,-0.574,-0.91,-0.455,,,,
17,-1,-1,,0.91,'personal story sharing declining fb feeds start look like twtr','personal story sharing declining fb feeds start look like twtr',7.19634E+17,-0.572,-0.91,-0.455,,,,
158,-1,-1,,0.97,sold,sold,7.19916E+17,-0.57,-0.97,-0.485,,,,
137,-1,-1,,0.79,'three black crows followed potential bear flag not looking promising short term','three black crows followed potential bear flag not looking promising short term',9077839,-0.569,-0.79,-0.395,,,,
163,-1,1,+,0.51,'afternoon selloff usual brutal get ready lose ton money','afternoon selloff usual brutal get ready lose ton money',37388803,-0.569,0.51,,,,,
71,-1,1,+,0.52,'naturalgas settles 3year low','naturalgas settles 3year low',36060890,-0.563,0.52,,,,,
169,-1,1,+,0.53,'azpn worth 20 share not 40','azpn worth 20 share not 40',18383387,-0.563,0.53,,,,,
133,-1,1,+,0.75,timberrrr,timberrrr,7.19572E+17,-0.562,0.75,,,,,
60,-1,-1,,1,'going down','going down',11781180,-0.559,-1,-0.5,,,,
150,-1,-1,,1,'going down','going down',11781180,-0.559,-1,-0.5,,,,
108,-1,-1,,1,'going down','going down',11781180,-0.559,-1,-0.5,,,,
10,-1,-1,,1,'going down','going down',11781180,-0.559,-1,-0.5,,,,
126,-1,-1,,0.9,'tight avail stock shorting','tight avail stock shorting',7.19693E+17,-0.554,-0.9,-0.45,,,,
150,-1,-1,,0.97,'sold celg agio','sold celg agio',7.19517E+17,-0.552,-0.97,-0.485,,,,
79,-1,-1,,0.73,'got hit hard lower','got hit hard lower',20816832,-0.551,-0.73,-0.365,,,,
128,-1,-1,,0.56,'down 20 afterhour market','down 20 afterhour market',7.19647E+17,-0.551,-0.56,-0.28,,,,
48,-1,-1,,0.99,'getting sold','getting sold',11723392,-0.551,-0.99,-0.495,,,,
180,-1,-1,,0.7,'sinks 35','sinks 35',28286313,-0.549,-0.7,-0.35,,,,
7,-1,1,+,0.57,'absolute garbage still up stores totally empty','absolute garbage still up stores totally empty',17892972,-0.546,0.57,,,,,
168,-1,1,+,0.8,'flop would get everyone running fences','flop would get everyone running fences',7.19554E+17,-0.546,0.8,,,,,
2,-1,-1,,0.96,sold,sold,7.19916E+17,-0.546,-0.96,-0.48,,,,
17,-1,-1,,0.74,'losers buying tsla levels','losers buying tsla levels',7.11708E+17,-0.545,-0.74,-0.37,,,,
125,-1,1,+,0.8,'sells flati','sells flati',31615895,-0.541,0.8,,,,,
147,-1,-1,,0.93,'sell signal ndx internals technical sell','sell signal ndx internals technical sell',39025868,-0.541,-0.93,-0.465,,,,
136,-1,-1,,0.89,'short market','short market',14972619,-0.541,-0.89,-0.445,,,,
87,-1,-1,,0.97,'currently shorts rejoicing','currently shorts rejoicing',12644313,-0.54,-0.97,-0.485,,,,
73,-1,-1,,0.86,'loading spy aapl puts think toppy','loading spy aapl puts think toppy',7.19576E+17,-0.537,-0.86,-0.43,,,,
82,-1,-1,,0.52,'uch bloated valuation','uch bloated valuation',7.19534E+17,-0.536,-0.52,-0.26,,,,
110,-1,-1,,0.55,'bear flag','bear flag',8597000,-0.535,-0.55,-0.275,,,,
68,-1,-1,,0.92,'broker shorts','broker shorts',25995078,-0.533,-0.92,-0.46,,,,
167,-1,-1,,0.85,'bearish engulfing candle','bearish engulfing candle',38571356,-0.532,-0.85,-0.425,,,,
105,-1,-1,,0.53,'back back intraday reversals look below','back back intraday reversals look below',7.19605E+17,-0.53,-0.53,-0.265,,,,
144,-1,-1,,0.9,'4 shorts','4 shorts',38883695,-0.53,-0.9,-0.45,,,,
196,-1,-1,,0.81,'shorts made killing last couple days','shorts made killing last couple days',11116406,-0.529,-0.81,-0.405,,,,
139,-1,1,+,0.69,'running cloud bottom','running cloud bottom',5408575,-0.528,0.69,,,,,
168,-1,-1,,0.77,'tomorrow party time bears','tomorrow party time bears',14668154,-0.528,-0.77,-0.385,,,,
176,-1,-1,,0.798,'fb ibb down','fb ibb down',7.1954E+17,-0.527,-0.798,-0.399,,,,
96,-1,-1,,0.7,'down 25 since tue morning','down 25 since tue morning',27888646,-0.527,-0.7,-0.35,,,,
152,-1,-1,,0.97,'insiders selling','insiders selling',7.0896E+17,-0.527,-0.97,-0.485,,,,
35,-1,-1,,0.8,'short somewhere high thing b short 3 soon','short somewhere high thing b short 3 soon',5437050,-0.526,-0.8,-0.4,,,,
70,-1,-1,,0.95,'trying drag bidu','trying drag bidu',5409344,-0.524,-0.95,-0.475,,,,
51,-1,-1,,0.89,'trying drag bidu','trying drag bidu',5409344,-0.524,-0.89,-0.445,,,,
186,-1,1,+,0.58,'locked fb puts nice gain','locked fb puts nice gain',7.19521E+17,-0.524,0.58,,,,,
150,-1,-1,,0.72,'tomorrow party time bears','tomorrow party time bears',14668154,-0.524,-0.72,-0.36,,,,
26,-1,-1,,0.9,'24984 breaks see 245 240','24984 breaks see 245 240',7.19573E+17,-0.519,-0.9,-0.45,,,,
53,-1,-1,,0.79,'puts came','puts came',6149800,-0.517,-0.79,-0.395,,,,
78,-1,-1,,1,'stochastic overbought','stochastic overbought',39047349,-0.516,-1,-0.5,,,,
177,-1,-1,,1,'stochastic overbought','stochastic overbought',39047349,-0.516,-1,-0.5,,,,
114,-1,-1,,1,'stochastic overbought','stochastic overbought',39047349,-0.516,-1,-0.5,,,,
188,-1,-1,,1,'stochastic overbought','stochastic overbought',39047349,-0.516,-1,-0.5,,,,
123,-1,-1,,0.56,'looks like might break down im','looks like might break down im',25136062,-0.516,-0.56,-0.28,,,,
134,-1,-1,,1,'stochastic overbought','stochastic overbought',39047349,-0.516,-1,-0.5,,,,
7,-1,-1,,1,'stochastic overbought','stochastic overbought',39047349,-0.516,-1,-0.5,,,,
107,-1,-1,,0.9,'viab down 40','viab down 40',7.1959E+17,-0.516,-0.9,-0.45,,,,
43,-1,-1,,0.94,'sales weak margins down','sales weak margins down',9942259,-0.515,-0.94,-0.47,,,,
83,-1,-1,,0.64,'looks like could fall apart market not liking','looks like could fall apart market not liking',5942762,-0.515,-0.64,-0.32,,,,
25,-1,1,+,0.98,'goes up','goes up',7.19521E+17,-0.514,0.98,,,,,
101,-1,-1,,1,'another sell rating sell rating','another sell rating sell rating',7.19489E+17,-0.513,-1,-0.5,,,,
171,-1,-1,,0.97,'another sell rating sell rating','another sell rating sell rating',7.19489E+17,-0.513,-0.97,-0.485,,,,
96,-1,-1,,0.77,'down 284 premarket','down 284 premarket',29835869,-0.512,-0.77,-0.385,,,,
175,-1,-1,,0.98,'cracking lower early short','cracking lower early short',7.19519E+17,-0.511,-0.98,-0.49,,,,
93,-1,-1,,0.62,'excellent factual bear argument','excellent factual bear argument',11576301,-0.507,-0.62,-0.31,,,,
11,-1,-1,,0.84,'dumped pypl prlb','dumped pypl prlb',7.19529E+17,-0.506,-0.84,-0.42,,,,
168,-1,1,+,0.72,'joke bubble buyerbeware','joke bubble buyerbeware',17216281,-0.506,0.72,,,,,
37,-1,-1,,1,'tsla short','tsla short',7.19576E+17,-0.505,-1,-0.5,,,,
4,-1,-1,,0.94,'looks weak stay short spy till','looks weak stay short spy till',31138946,-0.504,-0.94,-0.47,,,,
32,-1,-1,,0.99,'hitting everything sight short','hitting everything sight short',28622523,-0.504,-0.99,-0.495,,,,
15,-1,-1,,0.64,'today aside setting up another drop overvalued sector','today aside setting up another drop overvalued sector',22143743,-0.504,-0.64,-0.32,,,,
35,-1,-1,,0.83,'shorts likely take profits close','shorts likely take profits close',16475865,-0.503,-0.83,-0.415,,,,
133,-1,-1,,0.84,'bears take clear near term advantage','bears take clear near term advantage',6148018,-0.501,-0.84,-0.42,,,,
64,-1,-1,,0.95,'highflyers falling','highflyers falling',7.19841E+17,-0.501,-0.95,-0.475,,,,
145,-1,-1,,0.93,'sell signal ndx internals technical sell','sell signal ndx internals technical sell',39025868,-0.501,-0.93,-0.465,,,,
