

@relation tweet_Train

@attribute tweet string
@attribute positivetweet NUMERIC
@attribute negativetweet NUMERIC
@attribute Sentclass {-1,1}

@data

'watching bounce tomorrow',0,0,1
'record number passengers served 2015',0,0,1
'nflx 35',0,0,-1
'looking strong bounce lunchtime rally coming',1,0,1
'intrigued technology growth potential',0,0,1
'overbought',0,1,-1
'absolute garbage still up stores totally empty',1,2,-1
'biggest market losers',0,0,-1
'love company long time',1,0,1
'goog googl would suck',0,0,-1
'wont pay anymore real risk',0,0,-1
'runs 50sma acquisition news',0,0,1
'okay go',1,0,1
'seems like helping downtrend',0,1,-1
'mastered supply chain',0,0,1
'bullish stocks dip',0,0,1
'big dumping would not touch',0,0,-1
'trade continuing nicely yesterday looking strong',1,0,1
'361',0,0,1
'stochastic overbought',0,1,-1
'unusual call buying',0,0,1
'reserves decline',0,1,1
'longerterm technical swing long basis',1,0,1
'insiders selling',0,1,-1
'goes up',1,0,-1
'24984 breaks see 245 240',0,1,-1
'lets see big bounce',0,0,1
'above 225 could get going',0,0,1
'may feed tsla momentum run lately',0,0,1
'possible double bottom set up',0,0,1
'trading alltime high strong earnings report',1,0,1
'positive outcome w lung study58 may see 13d filing soros',1,0,1
'put chum key support next level down careful',0,0,-1
'good idea buy half half bac',2,0,1
'okay alibaba ipo hoopla  hide chinese stocks',1,0,-1
'longerterm technical swing long basis',1,0,1
'stay long apple',1,0,1
'looks like drought conditions soil already',0,1,-1
'unusual call activity',0,0,1
'mdxg lower',0,0,-1
'biggest market losers',0,0,-1
'hip sinking',0,1,-1
'cant imagine shorts wanting go weekend without taking care position',0,1,1
'nice volume watch 330 resistance',0,0,1
'simo basing nice close 2418 bullish',0,0,1
'big money pouring facebook directions',0,0,1
'placed order sell 5 shares',0,1,-1
'go fb go',0,0,1
'bidu' ,0,0,-1
'short setups looking nicereally nice',0,1,-1
'defying downturn',0,1,1
'man one careful',0,0,-1
'downgrade',0,1,-1
'short tsla calls',0,1,-1
'looking long entry todays price action wasnt appealing',1,0,1
'follow trend follow money flow',0,0,1
'tapping 1000',0,0,1
'reenter short bounce',0,1,-1
'found good bull setups week',1,0,1
'going down',0,0,-1
'volatile',0,1,-1
'okay 81 ',1,0,1
'im watchingand buy targets',1,0,1
'beats estimize eps consensus 6c estimize revenue consensus',0,0,1
'short percent float 1680',0,1,-1
'add fxp skf positions',0,0,1
'long',1,0,1
'bottom losses',0,1,-1
'ure wish bad news came days earlier',0,1,-1
'wmt 13',0,0,1
'added increase 167',0,0,1
'mkt fell debt downgrade due slow growth',0,2,-1
'fcx 353',0,0,1
'frustrating green bar gets followed immediately 13 weeks consolidation',0,1,-1
'thanks short',0,1,-1
'need break 4',0,1,1
'fed cuts rates forecast calls go 100',0,0,1
'stochastic overbought',0,1,-1
