inst#,actual,predicted,error,prediction,tweet,
1,1:?,1,,0.68,'close ctrp 4616 4355 entry 66',0.68
2,1:?,1,,0.97,'every reason bullish',0.97
3,1:?,1,,0.74,'panw need anoth 1 time high',0.74
4,1:?,1,,1,'long setup',1
5,1:?,1,,0.98,'solid long term investmen passive added sbux today income',0.98
6,1:?,-1,,0.92,recall,-0.92
7,1:?,1,,1,'marriott wins new starwood deal raising cash portion bid',1
8,1:?,1,,0.85,'time embrace dividend growth',0.85
9,1:?,-1,,0.877,'bullshit applestores empty chinams must preparing liquidate aapl',-0.877
10,1:?,1,,1,'5star analyst robert derrington wunderlich reiterated buy',1
11,1:?,1,,0.97,'excited big value hoping',0.97
12,1:?,1,,0.85,'oil break outadding chevron',0.85
13,1:?,1,,0.98,'unusual call activity',0.98
14,1:?,1,,0.82,'chinas tourist bonanza isnt going anywhere',0.82
15,1:?,1,,0.7,15,0.7
16,1:?,-1,,0.53,'not guaranteed',-0.53
17,1:?,1,,0.95,'potential continuation uptrend',0.95
18,1:?,1,,0.93,longed,0.93
19,1:?,-1,,0.75,'absolute garbage still upstores totally emptystock mispriced',-0.75
20,1:?,1,,1,'buy dip',1
21,1:?,-1,,0.73,'weakest todays dt watchlist',-0.73
22,1:?,-1,,0.88,'see reasons cautious',-0.88
23,1:?,-1,,0.76,breaking,-0.76
24,1:?,-1,,0.81,'bbry smack down looks legitimategs msare playing ignorant',-0.81
25,1:?,1,,0.94,'swing trade looks like want go up',0.94
26,1:?,-1,,0.73,'add short',-0.73
27,1:?,1,,0.95,nice,0.95
28,1:?,-1,,0.87,'verified 9895 loss endp trades',-0.87
29,1:?,1,,0.95,'loving volume',0.95
30,1:?,1,,0.82,'hod buyers stepped',0.82
31,1:?,1,,0.85,'clearing back above 50 daynext buy add area clears upper trend line volume',0.85
32,1:?,1,,0.77,'eems respecting channel',0.77
33,1:?,1,,1,'sector stocks leading today',1
34,1:?,-1,,1,overbought,-1
35,1:?,1,,0.583,'look fb live video roll tough space',0.583
36,1:?,1,,0.91,'kodak could pick up christmas write taxes',0.91
37,1:?,-1,,0.86,'theyll whip back down',-0.86
38,1:?,1,,0.81,'plus irish based getting rid generic biz',0.81
39,1:?,1,,0.7,3037,0.7
40,1:?,1,,0.742,'top net pay out yields',0.742
41,1:?,-1,,0.84,'got sell signal 7114 still force target below 150',-0.84
42,1:?,-1,,0.59,'buy not end world',-0.59
43,1:?,1,,0.93,'future bright',0.93
