inst#,actual,predicted,error,prediction,tweet
1,1:?,2:1,,0.68,'close ctrp 4616 4355 entry 66'
2,1:?,2:1,,0.97,'every reason bullish'
3,1:?,2:1,,0.74,'panw need anoth 1 time high'
4,1:?,2:1,,1,'long setup'
5,1:?,2:1,,0.98,'solid long term investmen passive added sbux today income'
6,1:?,1:-1,,0.92,recall
7,1:?,2:1,,1,'marriott wins new starwood deal raising cash portion bid'
8,1:?,2:1,,0.85,'time embrace dividend growth'
9,1:?,1:-1,,0.877,'bullshit applestores empty chinams must preparing liquidate aapl'
10,1:?,2:1,,1,'5star analyst robert derrington wunderlich reiterated buy'
11,1:?,2:1,,0.97,'excited big value hoping'
12,1:?,2:1,,0.85,'oil break outadding chevron'
13,1:?,2:1,,0.98,'unusual call activity'
14,1:?,2:1,,0.82,'chinas tourist bonanza isnt going anywhere'
15,1:?,2:1,,0.7,015
16,1:?,1:-1,,0.53,'not guaranteed'
17,1:?,2:1,,0.95,'potential continuation uptrend'
18,1:?,2:1,,0.93,longed
19,1:?,1:-1,,0.75,'absolute garbage still upstores totally emptystock mispriced'
20,1:?,2:1,,1,'buy dip'
21,1:?,1:-1,,0.73,'weakest todays dt watchlist'
22,1:?,1:-1,,0.88,'see reasons cautious'
23,1:?,1:-1,,0.76,breaking
24,1:?,1:-1,,0.81,'bbry smack down looks legitimategs msare playing ignorant'
25,1:?,2:1,,0.94,'swing trade looks like want go up'
26,1:?,1:-1,,0.73,'add short'
27,1:?,2:1,,0.95,nice
28,1:?,1:-1,,0.87,'verified 9895 loss endp trades'
29,1:?,2:1,,0.95,'loving volume'
30,1:?,2:1,,0.82,'hod buyers stepped'
31,1:?,2:1,,0.85,'clearing back above 50 daynext buy add area clears upper trend line volume'
32,1:?,2:1,,0.77,'eems respecting channel'
33,1:?,2:1,,1,'sector stocks leading today'
34,1:?,1:-1,,1,overbought
35,1:?,2:1,,0.583,'look fb live video roll tough space'
36,1:?,2:1,,0.91,'kodak could pick up christmas write taxes'
37,1:?,1:-1,,0.86,'theyll whip back down'
38,1:?,2:1,,0.81,'plus irish based getting rid generic biz'
39,1:?,2:1,,0.7,3037
40,1:?,2:1,,0.742,'top net pay out yields'
41,1:?,1:-1,,0.84,'got sell signal 7114 still force target below 150'
42,1:?,1:-1,,0.59,'buy not end world'
43,1:?,2:1,,0.93,'future bright'
44,1:?,1:-1,,0.52,'bulls careful'
45,1:?,2:1,,0.9,'577 added 576 pb'
46,1:?,2:1,,0.93,'may ripe takeover targe'
47,1:?,2:1,,1,'top 5 stock picks'
48,1:?,2:1,,0.84,'tomorrow morning likely open north'
49,1:?,2:1,,1,'unusual call activity'
50,1:?,2:1,,0.76,'iraq boosts oil production record'
51,1:?,1:-1,,0.72,'failed breakouts failed setups limping crutches next week'
52,1:?,2:1,,0.81,'takeover interest'
53,1:?,2:1,,0.78,'endp shares rattled'
54,1:?,2:1,,1,'buy csx ride railroads'
55,1:?,2:1,,0.582,'fb aapl'
56,1:?,1:-1,,1,'downgrade er'
57,1:?,2:1,,0.97,'good opportunity buy'
58,1:?,1:-1,,0.96,'insy lower'
59,1:?,2:1,,0.97,'nice day rally'
60,1:?,2:1,,0.99,'popping up hod'
61,1:?,1:-1,,0.9,'large players selling'
62,1:?,2:1,,0.81,'finally broke free big brothers shadow'
63,1:?,2:1,,0.99,'buy back shares'
64,1:?,2:1,,0.67,'insider trading clair st unloaded 5838 shares'
65,1:?,2:1,,0.64,'files lawsuit verizon'
66,1:?,2:1,,0.96,'looks solid 2016 high teens eps growth'
67,1:?,1:-1,,0.82,'fit sune not changed'
68,1:?,2:1,,0.74,'doubled number'
69,1:?,2:1,,0.98,'positive top notch investor dd trusted'
70,1:?,2:1,,1,'best stocks 2012'
71,1:?,2:1,,0.7,'addednew subscribers'
72,1:?,1:-1,,0.8,'market seems like roll here look below'
73,1:?,2:1,,0.88,'apples category win'
74,1:?,2:1,,0.75,'bullish story intact even market rolls'
75,1:?,1:-1,,0.79,'continues base debate linger downside limited'
76,1:?,2:1,,0.93,'updated core4 portfolio'
77,1:?,2:1,,0.58,'news nothing left dont keep anymor'
78,1:?,2:1,,1,'highest call put ratio'
79,1:?,2:1,,0.96,toprated
80,1:?,2:1,,1,'current holdings via options long'
81,1:?,2:1,,1,'watchlist top stocks'
82,1:?,2:1,,0.74,'could testing 425 days'
83,1:?,2:1,,0.7,'bhp 304'
