'close ctrp 4616 4355 entry 66',0.68
'every reason bullish',0.97
'panw need anoth 1 time high',0.74
'long setup',1
'solid long term investmen passive added sbux today income',0.98
recall,-0.92
'marriott wins new starwood deal raising cash portion bid',1
'time embrace dividend growth',0.85
'bullshit applestores empty chinams must preparing liquidate aapl',-0.877
'5star analyst robert derrington wunderlich reiterated buy',1
'excited big value hoping',0.97
'oil break outadding chevron',0.85
'unusual call activity',0.98
'chinas tourist bonanza isnt going anywhere',0.82
15,0.7
'not guaranteed',-0.53
'potential continuation uptrend',0.95
longed,0.93
'absolute garbage still upstores totally emptystock mispriced',-0.75
'buy dip',1
'weakest todays dt watchlist',-0.73
'see reasons cautious',-0.88
breaking,-0.76
'bbry smack down looks legitimategs msare playing ignorant',-0.81
'swing trade looks like want go up',0.94
'add short',-0.73
nice,0.95
'verified 9895 loss endp trades',-0.87
'loving volume',0.95
'hod buyers stepped',0.82
'clearing back above 50 daynext buy add area clears upper trend line volume',0.85
'eems respecting channel',0.77
'sector stocks leading today',1
overbought,-1
'look fb live video roll tough space',0.583
'kodak could pick up christmas write taxes',0.91
'theyll whip back down',-0.86
'plus irish based getting rid generic biz',0.81
3037,0.7
'top net pay out yields',0.742
'got sell signal 7114 still force target below 150',-0.84
'buy not end world',-0.59
'future bright',0.93
'bulls careful',-0.52
'577 added 576 pb',0.9
'may ripe takeover targe',0.93
'top 5 stock picks',1
'tomorrow morning likely open north',0.84
'unusual call activity',1
'iraq boosts oil production record',0.76
'failed breakouts failed setups limping crutches next week',-0.72
'takeover interest',0.81
'endp shares rattled',0.78
'buy csx ride railroads',1
'fb aapl',0.582
'downgrade er',-1
'good opportunity buy',0.97
'insy lower',-0.96
'nice day rally',0.97
'popping up hod',0.99
'large players selling',-0.9
'finally broke free big brothers shadow',0.81
'buy back shares',0.99
'insider trading clair st unloaded 5838 shares',0.67
'files lawsuit verizon',0.64
'looks solid 2016 high teens eps growth',0.96
'fit sune not changed',-0.82
'doubled number',0.74
'positive top notch investor dd trusted',0.98
'best stocks 2012',1
'addednew subscribers',0.7
'market seems like roll here look below',-0.8
'apples category win',0.88
'bullish story intact even market rolls',0.75
'continues base debate linger downside limited',-0.79
'updated core4 portfolio',0.93
'news nothing left dont keep anymor',0.58
'highest call put ratio',1
toprated,0.96
'current holdings via options long',1
'watchlist top stocks',1
'could testing 425 days',0.74
'bhp 304',0.7
'time stomp dreams',-0.91
sold,-0.98
'arrg go round 2',0.55
'short term fundredemption liquidations',-0.98
'fb down 75 bearish patternimpressive bearish move',-0.87
'largest online gaming market',0.81
'would like see upside break channel week',0.79
'european debt keeps stocks down',-0.93
'lookin 4 short opt',-0.93
'long fb',0.933
'still real movement im sidelines',0.51
'another great day millions gain shorts get caught tall grass',-0.78
'moves up tr1 long watchlist',0.86
'laggard nothing get excited imois underperforming market',0.59
'google ibm arm amd begin assault intels server franchise',0.91
'weak outlook',-0.97
'join dow jones monthreplacing',0.7
'bullish stocks twitter dip',0.99
red,-0.72
'accumulated day',0.8
'ses warrants buy 117b 1497 amerisourcebergenpbr16 shares',1
'iraq boosts oil production record',0.76
'biggest market losers',-0.94
'added bbbystill profitable merchant profitable stores',0.93
'stochastic sell signal',-0.94
'huge buy names',1
'max pain 10100',-0.97
'oil 276',0.69
'everyone buying calls eod friday',0.95
'consumers keep cautious stance',-0.94
'decent supt hereexpect upside',0.96
'swing short',-0.95
'short setups looking nicereally nice',-0.8
'new large player sells',-0.86
'must exciting',0.93
'down day week month year',-0.65
'aapl interesting positive stories coming past day',0.95
plunged,-0.89
'equity indexes working positive engulfing march',0.98
'hope okay',1
'consumers keep cautious stance',-0.72
'upcoming first support days weeks',0.88
'earnings growth looks dim current multiple high',0.9
'multiyear stock breakouts',0.99
'timing everything time canna security america',0.52
'could see nice pop bids come higher expected',0.99
'pushing highs',0.95
'turns back down early trading',-0.79
'resuming advance new historical highs',0.95
'liking upside break',0.85
